"Vi(DAC)","Vo(ADC-s0)","Vo(ADC-s1)","Vo(ADC-s2)","Vo(ADC-s3)","Vo(ADC-s4)","Vo(ADC-s5)","Vo(ADC-s6)","Vo(ADC-s7)"
1.938477,0,5,5,0,0,5,5,0
1.943360,0,5,5,0,0,5,5,0
1.948242,0,5,5,0,0,5,5,0
1.953125,0,5,5,0,0,5,5,0
1.958008,5,5,5,0,0,5,5,0
1.962891,5,5,5,0,0,5,5,0
1.967774,5,5,5,0,0,5,5,0
1.972656,5,5,5,0,0,5,5,0
1.977539,5,5,5,0,0,5,5,0
1.982422,0,0,0,5,0,5,5,0
1.987305,0,0,0,5,0,5,5,0
1.992188,0,0,0,5,0,5,5,0
1.997071,0,0,0,5,0,5,5,0
2.001953,5,0,0,5,0,5,5,0
2.006836,5,0,0,5,0,5,5,0
2.011719,5,0,0,5,0,5,5,0
2.016602,5,0,0,5,0,5,5,0
2.021485,0,5,0,5,0,5,5,0
2.026367,0,5,0,5,0,5,5,0
2.031250,0,5,0,5,0,5,5,0
2.036133,5,5,0,5,0,5,5,0
2.041016,5,5,0,5,0,5,5,0
2.045899,5,5,0,5,0,5,5,0
2.050781,5,5,0,5,0,5,5,0
2.055664,0,0,5,5,0,5,5,0
2.060547,0,0,5,5,0,5,5,0
2.065430,0,0,5,5,0,5,5,0
2.070313,0,0,5,5,0,5,5,0
2.075196,0,0,5,5,0,5,5,0
2.080078,5,0,5,5,0,5,5,0
2.084961,5,0,5,5,0,5,5,0
2.089844,0,5,5,5,0,5,5,0
2.094727,0,5,5,5,0,5,5,0
2.099610,0,5,5,5,0,5,5,0
2.104492,0,5,5,5,0,5,5,0
2.109375,0,5,5,5,0,5,5,0
2.114258,5,5,5,5,0,5,5,0
2.119141,5,5,5,5,0,5,5,0
2.124024,5,5,5,5,0,5,5,0
2.128906,0,0,0,0,5,5,5,0
2.133789,0,0,0,0,5,5,5,0
2.138672,0,0,0,0,5,5,5,0
2.143555,0,0,0,0,5,5,5,0
2.148438,0,0,0,0,5,5,5,0
2.153321,5,0,0,0,5,5,5,0
2.158203,5,0,0,0,5,5,5,0
2.163086,5,0,0,0,5,5,5,0
2.167969,5,0,0,0,5,5,5,0
2.172852,0,5,0,0,5,5,5,0
2.177735,0,5,0,0,5,5,5,0
2.182617,0,5,0,0,5,5,5,0
2.187500,5,5,0,0,5,5,5,0
2.192383,5,5,0,0,5,5,5,0
2.197266,5,5,0,0,5,5,5,0
2.202149,5,5,0,0,5,5,5,0
2.207031,5,5,0,0,5,5,5,0
2.211914,0,0,5,0,5,5,5,0
2.216797,0,0,5,0,5,5,5,0
2.221680,0,0,5,0,5,5,5,0
2.226563,0,0,5,0,5,5,5,0
2.231446,5,0,5,0,5,5,5,0
2.236328,5,0,5,0,5,5,5,0
2.241211,5,0,5,0,5,5,5,0
2.246094,0,5,5,0,5,5,5,0
2.250977,0,5,5,0,5,5,5,0
2.255860,0,5,5,0,5,5,5,0
2.260742,0,5,5,0,5,5,5,0
2.265625,5,5,5,0,5,5,5,0
2.270508,5,5,5,0,5,5,5,0
2.275391,5,5,5,0,5,5,5,0
2.280274,0,0,0,5,5,5,5,0
2.285156,0,0,0,5,5,5,5,0
2.290039,0,0,0,5,5,5,5,0
2.294922,0,0,0,5,5,5,5,0
2.299805,0,0,0,5,5,5,5,0
2.304688,0,0,0,5,5,5,5,0
2.309571,5,0,0,5,5,5,5,0
2.314453,5,0,0,5,5,5,5,0
2.319336,5,0,0,5,5,5,5,0
2.324219,0,5,0,5,5,5,5,0
2.329102,0,5,0,5,5,5,5,0
2.333985,0,5,0,5,5,5,5,0
2.338867,5,5,0,5,5,5,5,0
2.343750,5,5,0,5,5,5,5,0
2.348633,5,5,0,5,5,5,5,0
2.353516,5,5,0,5,5,5,5,0
2.358399,0,0,5,5,5,5,5,0
2.363281,0,0,5,5,5,5,5,0
2.368164,0,0,5,5,5,5,5,0
2.373047,0,0,5,5,5,5,5,0
2.377930,0,0,5,5,5,5,5,0
2.382813,5,0,5,5,5,5,5,0
2.387696,5,0,5,5,5,5,5,0
2.392578,5,0,5,5,5,5,5,0
2.397461,0,5,5,5,5,5,5,0
2.402344,0,5,5,5,5,5,5,0
2.407227,0,5,5,5,5,5,5,0
2.412110,0,5,5,5,5,5,5,0
2.416992,5,5,5,5,5,5,5,0
2.421875,5,5,5,5,5,5,5,0
2.426758,5,5,5,5,5,5,5,0
2.431641,5,5,5,5,5,5,5,0
2.436524,0,0,0,0,0,0,0,5
2.441406,0,0,0,0,0,0,0,5
2.446289,0,0,0,0,0,0,0,5
2.451172,0,0,0,0,0,0,0,5
2.456055,0,0,0,0,0,0,0,5
2.460938,5,0,0,0,0,0,0,5
2.465821,5,0,0,0,0,0,0,5
2.470703,5,0,0,0,0,0,0,5
2.475586,5,0,0,0,0,0,0,5
2.480469,0,5,0,0,0,0,0,5
2.485352,0,5,0,0,0,0,0,5
2.490235,0,5,0,0,0,0,0,5
2.495117,5,5,0,0,0,0,0,5
2.500000,5,5,0,0,0,0,0,5
2.504883,5,5,0,0,0,0,0,5
2.509766,5,5,0,0,0,0,0,5
2.514649,5,5,0,0,0,0,0,5
2.519531,0,0,5,0,0,0,0,5
2.524414,0,0,5,0,0,0,0,5
2.529297,0,0,5,0,0,0,0,5
2.534180,5,0,5,0,0,0,0,5
2.539063,5,0,5,0,0,0,0,5
2.543946,5,0,5,0,0,0,0,5
2.548828,0,5,5,0,0,0,0,5
2.553711,0,5,5,0,0,0,0,5
2.558594,0,5,5,0,0,0,0,5
2.563477,0,5,5,0,0,0,0,5
2.568360,5,5,5,0,0,0,0,5
2.573242,5,5,5,0,0,0,0,5
2.578125,5,5,5,0,0,0,0,5
2.583008,5,5,5,0,0,0,0,5
2.587891,5,5,5,0,0,0,0,5
2.592774,0,0,0,5,0,0,0,5
2.597656,0,0,0,5,0,0,0,5
2.602539,0,0,0,5,0,0,0,5
2.607422,0,0,0,5,0,0,0,5
2.612305,5,0,0,5,0,0,0,5
2.617188,5,0,0,5,0,0,0,5
2.622071,5,0,0,5,0,0,0,5
2.626953,5,0,0,5,0,0,0,5
2.631836,0,5,0,5,0,0,0,5
2.636719,0,5,0,5,0,0,0,5
2.641602,0,5,0,5,0,0,0,5
2.646485,5,5,0,5,0,0,0,5
2.651367,5,5,0,5,0,0,0,5
2.656250,5,5,0,5,0,0,0,5
2.661133,5,5,0,5,0,0,0,5
2.666016,0,0,5,5,0,0,0,5
2.670899,0,0,5,5,0,0,0,5
2.675782,0,0,5,5,0,0,0,5
2.680664,0,0,5,5,0,0,0,5
2.685547,0,0,5,5,0,0,0,5
2.690430,5,0,5,5,0,0,0,5
2.695313,5,0,5,5,0,0,0,5
2.700196,5,0,5,5,0,0,0,5
2.705078,0,5,5,5,0,0,0,5
2.709961,0,5,5,5,0,0,0,5
2.714844,0,5,5,5,0,0,0,5
2.719727,5,5,5,5,0,0,0,5
2.724610,5,5,5,5,0,0,0,5
2.729492,5,5,5,5,0,0,0,5
2.734375,5,5,5,5,0,0,0,5
2.739258,5,5,5,5,0,0,0,5
2.744141,5,5,5,5,0,0,0,5
2.749024,0,0,0,0,5,0,0,5
2.753907,0,0,0,0,5,0,0,5
2.758789,0,0,0,0,5,0,0,5
2.763672,5,0,0,0,5,0,0,5
2.768555,5,0,0,0,5,0,0,5
2.773438,5,0,0,0,5,0,0,5
2.778321,5,0,0,0,5,0,0,5
2.783203,0,5,0,0,5,0,0,5
2.788086,0,5,0,0,5,0,0,5
2.792969,0,5,0,0,5,0,0,5
2.797852,5,5,0,0,5,0,0,5
2.802735,5,5,0,0,5,0,0,5
2.807617,5,5,0,0,5,0,0,5
2.812500,5,5,0,0,5,0,0,5
2.817383,5,5,0,0,5,0,0,5
2.822266,0,0,5,0,5,0,0,5
2.827149,0,0,5,0,5,0,0,5
2.832032,0,0,5,0,5,0,0,5
2.836914,0,0,5,0,5,0,0,5
2.841797,5,0,5,0,5,0,0,5
2.846680,5,0,5,0,5,0,0,5
2.851563,5,0,5,0,5,0,0,5
2.856446,0,5,5,0,5,0,0,5
2.861328,0,5,5,0,5,0,0,5
2.866211,0,5,5,0,5,0,0,5
2.871094,0,5,5,0,5,0,0,5
2.875977,5,5,5,0,5,0,0,5
2.880860,5,5,5,0,5,0,0,5
2.885742,5,5,5,0,5,0,0,5
2.890625,0,0,0,5,5,0,0,5
2.895508,0,0,0,5,5,0,0,5
2.900391,0,0,0,5,5,0,0,5
2.905274,0,0,0,5,5,0,0,5
2.910157,0,0,0,5,5,0,0,5
2.915039,5,0,0,5,5,0,0,5
2.919922,5,0,0,5,5,0,0,5
2.924805,5,0,0,5,5,0,0,5
2.929688,5,0,0,5,5,0,0,5
2.934571,0,5,0,5,5,0,0,5
2.939453,0,5,0,5,5,0,0,5
2.944336,0,5,0,5,5,0,0,5
2.949219,5,5,0,5,5,0,0,5
2.954102,5,5,0,5,5,0,0,5
2.958985,5,5,0,5,5,0,0,5
2.963867,5,5,0,5,5,0,0,5
2.968750,0,0,5,5,5,0,0,5
2.973633,0,0,5,5,5,0,0,5
2.978516,0,0,5,5,5,0,0,5
2.983399,0,0,5,5,5,0,0,5
2.988282,0,0,5,5,5,0,0,5
2.993164,5,0,5,5,5,0,0,5
2.998047,5,0,5,5,5,0,0,5
3.002930,5,0,5,5,5,0,0,5
3.007813,0,5,5,5,5,0,0,5
3.012696,0,5,5,5,5,0,0,5
3.017578,0,5,5,5,5,0,0,5
3.022461,0,5,5,5,5,0,0,5
3.027344,5,5,5,5,5,0,0,5
3.032227,5,5,5,5,5,0,0,5
3.037110,5,5,5,5,5,0,0,5
3.041992,5,5,5,5,5,0,0,5
3.046875,5,5,5,5,5,0,0,5
3.051758,0,0,0,0,0,5,0,5
3.056641,0,0,0,0,0,5,0,5
3.061524,0,0,0,0,0,5,0,5
3.066407,0,0,0,0,0,5,0,5
3.071289,5,0,0,0,0,5,0,5
3.076172,5,0,0,0,0,5,0,5
3.081055,5,0,0,0,0,5,0,5
3.085938,5,0,0,0,0,5,0,5
3.090821,0,5,0,0,0,5,0,5
3.095703,0,5,0,0,0,5,0,5
3.100586,5,5,0,0,0,5,0,5
3.105469,5,5,0,0,0,5,0,5
3.110352,5,5,0,0,0,5,0,5
3.115235,5,5,0,0,0,5,0,5
3.120117,5,5,0,0,0,5,0,5
3.125000,0,0,5,0,0,5,0,5
3.129883,0,0,5,0,0,5,0,5
3.134766,0,0,5,0,0,5,0,5
3.139649,0,0,5,0,0,5,0,5
3.144532,5,0,5,0,0,5,0,5
3.149414,5,0,5,0,0,5,0,5
